year,avg_temp
1743,6.8
1744,9.28
1745,4.32
1746,
1747,
1748,
1749,
1750,9.32
1751,9.12
1752,6.28
1753,8.63
1754,8.59
1755,8.29
1756,8.75
1757,8.72
1758,7.83
1759,8.82
1760,8.14
1761,8.95
1762,8.32
1763,7.95
1764,8.26
1765,8.08
1766,8.24
1767,8.38
1768,8.25
1769,8.33
1770,8.08
1771,8.14
1772,8.22
1773,8.26
1774,8.22
1775,9.06
1776,8.3
1777,8.49
1778,8.9
1779,9.77
1780,9.02
1781,9.51
1782,7.46
1783,8.65
1784,7.67
1785,8.11
1786,7.89
1787,8.84
1788,8.84
1789,8.74
1790,8.99
1791,8.84
1792,8.82
1793,8.76
1794,9.13
1795,8.41
1796,8.68
1797,8.66
1798,9.14
1799,7.56
1800,8.47
1801,8.88
1802,8.65
1803,8.47
1804,8.8
1805,8.52
1806,8.73
1807,7.97
1808,8.17
1809,8.02
1810,7.9
1811,8.64
1812,7.72
1813,8.33
1814,7.45
1815,8.09
1816,7.2
1817,8.01
1818,8.88
1819,8.41
1820,8.12
1821,8.97
1822,9.14
1823,7.96
1824,8.74
1825,9.11
1826,9.24
1827,8.76
1828,9.37
1829,7.76
1830,8.24
1831,9.03
1832,8.58
1833,8.5
1834,9.41
1835,8.64
1836,7.94
1837,8.21
1838,7.52
1839,8.03
1840,8.12
1841,8.19
1842,8.76
1843,8.58
1844,8.34
1845,8.03
1846,9.47
1847,8.71
1848,8.42
1849,8.53
1850,8.6
1851,8.62
1852,9.07
1853,8.07
1854,8.84
1855,7.67
1856,8.42
1857,9.34
1858,8.65
1859,8.74
1860,7.54
1861,8.7
1862,8.3
1863,8.91
1864,8.34
1865,9.07
1866,8.57
1867,8.45
1868,9.35
1869,8.86
1870,8.5
1871,8.73
1872,8.79
1873,8.42
1874,8.75
1875,8.86
1876,8.77
1877,8.52
1878,8.75
1879,7.17
1880,8.52
1881,7.88
1882,8.63
1883,8.23
1884,8.84
1885,7.88
1886,7.97
1887,8.16
1888,7.96
1889,8.56
1890,8.55
1891,8.14
1892,7.6
1893,9.23
1894,8.54
1895,7.94
1896,8.78
1897,8.81
1898,9.36
1899,9.13
1900,8.64
1901,8.45
1902,8.39
1903,8.44
1904,8.45
1905,8.66
1906,8.62
1907,8.28
1908,8.95
1909,8.18
1910,8.48
1911,9.03
1912,8.52
1913,8.84
1914,9.05
1915,8.19
1916,8.66
1917,8.08
1918,8.85
1919,8.04
1920,8.94
1921,9.8
1922,8.25
1923,8.51
1924,8.69
1925,8.45
1926,9.08
1927,8.64
1928,8.83
1929,8.65
1930,8.59
1931,8.71
1932,8.99
1933,9.36
1934,9.36
1935,8.95
1936,8.83
1937,8.78
1938,9.35
1939,9.13
1940,8.87
1941,8.55
1942,8.71
1943,9.33
1944,9.07
1945,9.75
1946,8.82
1947,8.8
1948,9.34
1949,9.85
1950,8.7
1951,8.48
1952,8.56
1953,9.39
1954,8.67
1955,8.85
1956,8.66
1957,9.33
1958,8.91
1959,9.72
1960,8.98
1961,9.08
1962,8.24
1963,8.04
1964,8.99
1965,8.31
1966,8.88
1967,8.83
1968,8.85
1969,8.61
1970,8.94
1971,9.4
1972,8.56
1973,9.06
1974,8.76
1975,9.37
1976,9.16
1977,8.84
1978,8.89
1979,8.12
1980,8.85
1981,8.78
1982,9.08
1983,9.37
1984,9.07
1985,8.34
1986,8.03
1987,8.66
1988,9.16
1989,9.57
1990,9.59
1991,9.07
1992,9.07
1993,8.85
1994,9.13
1995,9.75
1996,8.85
1997,9.95
1998,9.71
1999,9.75
2000,9.43
2001,9.27
2002,9.75
2003,9.8
2004,9.77
2005,9.91
2006,10
2007,10.11
2008,9.42
2009,9.47
2010,8.38
2011,9.76
2012,9.28
2013,9.28
